DV,Pressure,Temperature,Timestamp
13.0,-0.05244,31.04479997009278,2025-05-21 19:36:27.529
13.0,-0.05244,31.044799941303783,2025-05-21 19:36:27.546
13.0,-0.02442,31.04479988480219,2025-05-21 19:36:27.563
13.0,-0.02442,31.04479977391158,2025-05-21 19:36:27.580
13.0,-0.02442,31.04479955627651,2025-05-21 19:36:27.597
13.0,-0.02442,31.044799129143623,2025-05-21 19:36:27.614
13.0,-0.02442,31.04479829084814,2025-05-21 19:36:27.632
13.0,-0.02442,31.04479664560061,2025-05-21 19:36:27.650
13.0,-0.02442,31.04479341662052,2025-05-21 19:36:27.668
13.0,-0.02442,31.04478707939028,2025-05-21 19:36:27.685
13.0,-0.02442,31.04477464187563,2025-05-21 19:36:27.702
13.0,-0.02442,31.044750231878727,2025-05-21 19:36:27.718
13.0,-0.02442,31.04470232456236,2025-05-21 19:36:27.737
13.0,-0.00202,31.044608301159965,2025-05-21 19:36:27.754
13.0,-0.00202,31.04442376984266,2025-05-21 19:36:27.772
13.0,-0.00202,31.044061606740723,2025-05-21 19:36:27.789
13.0,-0.00202,31.043350821632153,2025-05-21 19:36:27.806
13.0,-0.00202,31.042409077827724,2025-05-21 19:36:27.822
13.0,-0.00202,31.04169824525056,2025-05-21 19:36:27.845
13.0,-0.00202,31.0413359647998,2025-05-21 19:36:27.861
13.0,-0.00202,31.041151190848844,2025-05-21 19:36:27.879
13.0,-0.00202,31.0410566849719,2025-05-21 19:36:27.896
13.0,-0.00202,31.0410078275465,2025-05-21 19:36:27.913
13.0,-0.00202,31.04098155122545,2025-05-21 19:36:27.932
13.0,0.01112,31.04096545001282,2025-05-21 19:36:27.950
13.0,0.01112,31.040951921947205,2025-05-21 19:36:27.966
13.0,0.01112,31.040934579942416,2025-05-21 19:36:27.984
13.0,0.01112,31.040905236214467,2025-05-21 19:36:28.001
13.0,0.01112,31.040850036534344,2025-05-21 19:36:28.020
13.0,0.01112,31.040742919148357,2025-05-21 19:36:28.037
13.0,0.01112,31.040533310087177,2025-05-21 19:36:28.054
13.0,0.01112,31.04012224537651,2025-05-21 19:36:28.073
13.0,0.01112,31.03957768204166,2025-05-21 19:36:28.092
13.0,0.01112,31.039166583062507,2025-05-21 19:36:28.110
13.0,0.01112,31.038956889284957,2025-05-21 19:36:28.130
13.0,0.01523,31.038849596737094,2025-05-21 19:36:28.148
13.0,0.01523,31.038794048749377,2025-05-21 19:36:28.166
13.0,0.01523,31.03876401911955,2025-05-21 19:36:28.183
13.0,0.01523,31.03874532977968,2025-05-21 19:36:28.203
13.0,0.01523,31.03872915682043,2025-05-21 19:36:28.222
13.0,0.01523,31.038707864406245,2025-05-21 19:36:28.239
13.0,0.01523,31.038671399622817,2025-05-21 19:36:28.256
13.0,0.01523,31.038602546134793,2025-05-21 19:36:28.273
13.0,0.01523,31.038468795734858,2025-05-21 19:36:28.292
13.0,0.01523,31.038291984522093,2025-05-21 19:36:28.309
13.0,0.01523,31.03815860250952,2025-05-21 19:36:28.326
13.0,0.01523,31.038090659725142,2025-05-21 19:36:28.343
13.0,0.01322,31.03805607793758,2025-05-21 19:36:28.363
13.0,0.01322,31.03803852984153,2025-05-21 19:36:28.385
13.0,0.01322,31.03802973034991,2025-05-21 19:36:28.406
13.0,0.01322,31.038025524906335,2025-05-21 19:36:28.423
13.0,0.01322,31.038023927969697,2025-05-21 19:36:28.441
13.0,0.01322,31.03802418556878,2025-05-21 19:36:28.458
13.0,0.01322,31.038026419325387,2025-05-21 19:36:28.476
13.0,0.01322,31.03803168387632,2025-05-21 19:36:28.495
13.0,0.01322,31.03804246480536,2025-05-21 19:36:28.514
13.0,0.01322,31.038063852176737,2025-05-21 19:36:28.531
13.0,0.01322,31.03810594373746,2025-05-21 19:36:28.546
13.0,0.01322,31.038188612426744,2025-05-21 19:36:28.564
13.0,0.0049,31.038340266046166,2025-05-21 19:36:28.581
13.0,0.0049,31.038528635812064,2025-05-21 19:36:28.598
13.0,0.0049,31.038666787220517,2025-05-21 19:36:28.616
13.0,0.0049,31.03873732272656,2025-05-21 19:36:28.631
13.0,0.0049,31.038773544678705,2025-05-21 19:36:28.653
13.0,0.0049,31.03879255476292,2025-05-21 19:36:28.669
13.0,0.0049,31.03880332832347,2025-05-21 19:36:28.687
13.0,0.0049,31.03881095194565,2025-05-21 19:36:28.705
